split,timestamp,primary_satellite,secondary_satellite,source_used,valid_count_24h,coverage_fraction_24h,max_peak_flux,status
train,2010-05-13 04:00:00,14,,goes14_primary,1440,1.0,1.58639736014e-07,xrsb_1min_no_flare
train,2010-05-13 05:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 06:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 07:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 08:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 09:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 10:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 11:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 12:00:00,14,,goes14_primary,1440,1.0,3.89949192936e-08,xrsb_1min_no_flare
train,2010-05-13 13:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 14:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 15:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 16:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 17:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 18:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 19:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 20:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 21:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 22:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-13 23:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-14 00:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-14 01:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-14 02:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-14 03:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
train,2010-05-14 04:00:00,14,,goes14_primary,1440,1.0,2.32185843885e-08,xrsb_1min_no_flare
